Table ID,Table Title,Table Universe,Data Product Type,Year,'1-year Published Summary Levels'!A1,'5-year Published Summary Levels'!A1
B99241,ALLOCATION OF INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99242,ALLOCATION OF OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99243,ALLOCATION OF CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99244,"ALLOCATION OF INDUSTRY FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B99245,"ALLOCATION OF OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B99246,"ALLOCATION OF CLASS OF WORKER FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992510,ALLOCATION OF KITCHEN FACILITIES,Housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992511,ALLOCATION OF HOUSE HEATING FUEL,Occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992512,ALLOCATION OF VEHICLES AVAILABLE,Occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992513,ALLOCATION OF TELEPHONE SERVICE AVAILABLE,Occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992514,ALLOCATION OF MEALS INCLUDED IN RENT,Renter-occupied housing units paying cash rent,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992515,ALLOCATION OF CONTRACT RENT,Renter-occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992516,ALLOCATION OF RENT ASKED,"Vacant-for-rent and rented, not occupied housing units",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992518,ALLOCATION OF GROSS RENT,Renter-occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992519,ALLOCATION OF VALUE,Owner-occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99252,ALLOCATION OF TENURE,Occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992520,ALLOCATION OF PRICE ASKED,"Vacant-for-sale-only and sold, not occupied housing units",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992521,ALLOCATION OF MORTGAGE STATUS,Owner-occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992522,ALLOCATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,Owner-occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992523,ALLOCATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS,Owner-occupied housing units,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992524,ALLOCATION OF OTHER VACANCY STATUS,Other vacant,Detailed Table,1,,"Excludes Block Group (150,258,293,294)"
B992525,ALLOCATION OF VACANCY DURATION,Vacant housing units,Detailed Table,1,,"Excludes Block Group (150,258,293,294)"
B99253,ALLOCATION OF VACANCY STATUS,Vacant housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99254,ALLOCATION OF ROOMS,Housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99255,ALLOCATION OF UNITS IN STRUCTURE,Housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99256,ALLOCATION OF YEAR STRUCTURE BUILT,Housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99257,ALLOCATION OF YEAR HOUSEHOLDER MOVED INTO UNIT,Occupied housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99258,ALLOCATION OF BEDROOMS,Housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99259,ALLOCATION OF PLUMBING FACILITIES,Housing units,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B992701,ALLOCATION OF HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992702,ALLOCATION OF PRIVATE HEALTH INSURANCE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992703,ALLOCATION OF PUBLIC HEALTH INSURANCE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992704,ALLOCATION OF EMPLOYER-BASED HEALTH INSURANCE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992705,ALLOCATION OF DIRECT-PURCHASE HEALTH INSURANCE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992706,ALLOCATION OF MEDICARE COVERAGE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992707,ALLOCATION OF MEDICAID/MEANS-TESTED PUBLIC COVERAGE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992708,ALLOCATION OF TRICARE/MILITARY HEALTH COVERAGE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B992709,ALLOCATION OF VA HEALTH CARE,Civilian noninstitutionalized population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B99281,ALLOCATION OF HOUSEHOLD INTERNET ACCESS,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99282,ALLOCATION OF HOUSEHOLD COMPUTER TYPE,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B99283,ALLOCATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C01001A,SEX BY AGE (WHITE ALONE),People who are White alone,Detailed Table,1,,
C01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone,Detailed Table,1,,
C01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),People who are American Indian and Alaska Native alone,Detailed Table,1,,
C01001D,SEX BY AGE (ASIAN ALONE),People who are Asian alone,Detailed Table,1,,
C01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,1,,
C01001F,SEX BY AGE (SOME OTHER RACE ALONE),People who are Some Other Race alone,Detailed Table,1,,
C01001G,SEX BY AGE (TWO OR MORE RACES),People who are Two or More Races,Detailed Table,1,,
C01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population",Detailed Table,1,,
C01001I,SEX BY AGE (HISPANIC OR LATINO),People who are Hispanic or Latino,Detailed Table,1,,
C02003,DETAILED RACE,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,People who are American Indian and Alaska Native alone and people with no tribe reported,Detailed Table,1,,
C02015,ASIAN ALONE BY SELECTED GROUPS,Total Asian alone population,Detailed Table,1,,
C02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Total Native Hawaiian and Other Pacific Islander alone population,Detailed Table,1,,
C03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Total population,Detailed Table,1,,
C03002,HISPANIC OR LATINO ORIGIN BY RACE,Total population,Detailed Table,1,,
C04004,PEOPLE REPORTING SINGLE ANCESTRY,People reporting single ancestry,Detailed Table,1,,
C04005,PEOPLE REPORTING MULTIPLE ANCESTRY,People reporting multiple ancestries,Detailed Table,1,,
C04006,PEOPLE REPORTING ANCESTRY,Total population,Detailed Table,1,,
C04007,ANCESTRY,Total population,Detailed Table,1,,
C05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Total population in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C05002,PLACE OF BIRTH BY NATIVITY,Total population,Detailed Table,1,,
C05003,SEX BY AGE BY NATIVITY,Total population,Detailed Table,1,,
C05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Population born outside the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION,Foreign-born population excluding population born at sea,Detailed Table,1,,
C05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Own children under 18 years in families and subfamilies,Detailed Table,1,,
C05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Own children under 18 years in families and subfamilies for whom poverty status is determined,Detailed Table,1,,
C06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES,Total population in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,Total population in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,Population 5 years and over in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,Population 5 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C06008PR,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C07008,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 15 years and over in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C07008PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C07201,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Population 1 year and over living in a Metropolitan Statistical Area in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C07201PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Population 1 year and over living in a Metropolitan Statistical Area in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C07204,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES",Population 1 year and over in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
C07204PR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN PUERTO RICO",Population 1 year and over in Puerto Rico,Detailed Table,1,Puerto Rico geographies only,
C07401,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,1,Residence 1 Year Ago geograpies; excludes Puerto Rico geographies,
C07401PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 1 year and over,Detailed Table,1,Residence 1 Year Ago geographies; Puerto Rico geographies only,
C08006,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over,Detailed Table,1,,
C08016,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL,Workers 16 years and over living in a metropolitan statistical area,Detailed Table,1,,
C08101,MEANS OF TRANSPORTATION TO WORK BY AGE,Workers 16 years and over,Detailed Table,1,,
C08111,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS,Workers 16 years and over,Detailed Table,1,,
C08113,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH,Workers 16 years and over,Detailed Table,1,,
C08119,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Workers 16 years and over with earnings,Detailed Table,1,,
C08122,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS,Workers 16 years and over for whom poverty status is determined,Detailed Table,1,,
C08124,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION,Workers 16 years and over,Detailed Table,1,,
C08126,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY,Workers 16 years and over,Detailed Table,1,,
C08128,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER,Workers 16 years and over,Detailed Table,1,,
C08130,MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL,Workers 16 years and over,Detailed Table,1,,
C08132,MEANS OF TRANSPORTATION TO WORK BY TIME OF DEPARTURE TO GO TO WORK,Workers 16 years and over who did not work at home,Detailed Table,1,,
C08134,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK,Workers 16 years and over who did not work at home,Detailed Table,1,,
C08136,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over who did not work at home,Detailed Table,1,,
C08141,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE,Workers 16 years and over in households,Detailed Table,1,,
C08301,MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over,Detailed Table,1,,
C08406,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08501,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08511,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08513,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08519,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY,Workers 16 years and over with earnings,Detailed Table,1,Place of Work geographies,
C08522,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY,Workers 16 years and over for whom poverty status is determined,Detailed Table,1,Place of Work geographies,
C08524,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08526,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08528,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C08532,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home,Detailed Table,1,Place of Work geographies,
C08534,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home,Detailed Table,1,Place of Work geographies,
C08536,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home,Detailed Table,1,Place of Work geographies,
C08541,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY,Workers 16 years and over in households,Detailed Table,1,Place of Work geographies,
C08601,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
C09019,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP ,Total population,Detailed Table,1,,
C11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Households,Detailed Table,1,,
C11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Nonfamily households,Detailed Table,1,,
C11013,SUBFAMILY TYPE,Subfamilies,Detailed Table,1,,
C11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE ,Population in subfamilies,Detailed Table,1,,
C11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Households,Detailed Table,1,,
C14002,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over,Detailed Table,1,,
C14003,SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over,Detailed Table,1,,
C14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,Population 16 to 19 years,Detailed Table,1,,
C14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),White alone population 3 years and over,Detailed Table,1,,
C14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 3 years and over,Detailed Table,1,,
C14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 3 years and over,Detailed Table,1,,
C14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),Asian alone population 3 years and over,Detailed Table,1,,
C14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 3 years and over,Detailed Table,1,,
C14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),Some other race alone population 3 years and over,Detailed Table,1,,
C14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES),Two or more races population 3 years and over,Detailed Table,1,,
C14007H,"SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino, population 3 years and over",Detailed Table,1,,
C14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO),Hispanic or Latino population 3 years and over,Detailed Table,1,,
C15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Population 25 years and over,Detailed Table,1,,
C15002A,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),White alone population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002B,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002C,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002D,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Asian alone population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002E,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002F,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Some other race alone population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002G,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Two or more races population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002H,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population 25 years and over",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15002I,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Hispanic or Latino population 25 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Population 25 years and over,Detailed Table,1,,
C15010,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,Population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010A,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),White alone population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010B,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010C,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010D,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Asian alone population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010E,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and other Pacific Islander alone population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010F,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Some other race alone population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010G,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Two or more races population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010H,"FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population 25 years and over with a Bachelor's degree or higher attainment",Detailed Table,"1,5",,Excludes Place/Remainder (070)
C15010I,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Hispanic or Latino population 25 years and over with a Bachelor's degree or higher attainment,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C16001,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,Population 5 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C16002,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C16003,AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER IN LIMITED ENGLISH SPEAKING HOUSEHOLDS,Population 5 years and over in households in which no one 14 and over speaks English only or speaks a language other than English at home and speaks English very well,Detailed Table,1,,
C16004,AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Population 5 years and over,Detailed Table,1,,
C16005,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Population 5 years and over,Detailed Table,1,,
C16006,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO),Hispanic or Latino population 5 years and over,Detailed Table,1,,
